Generating 1000 consistent theories (N=5, active max M=6, global max M=20)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch   1/1000 | Stage max M: 6 | Train Loss: 0.9287 | Train Consistent: 23/800 (2.9%) | Test Loss: 0.9019 | Test Consistent: 0/200 (0.0%)
Epoch   2/1000 | Stage max M: 6 | Train Loss: 0.8691 | Train Consistent: 54/800 (6.8%) | Test Loss: 0.8617 | Test Consistent: 171/200 (85.5%)
Epoch   3/1000 | Stage max M: 6 | Train Loss: 0.8380 | Train Consistent: 123/800 (15.4%) | Test Loss: 0.8187 | Test Consistent: 175/200 (87.5%)
Epoch   4/1000 | Stage max M: 6 | Train Loss: 0.8253 | Train Consistent: 152/800 (19.0%) | Test Loss: 0.8216 | Test Consistent: 165/200 (82.5%)
Epoch   5/1000 | Stage max M: 6 | Train Loss: 0.8194 | Train Consistent: 163/800 (20.4%) | Test Loss: 0.8091 | Test Consistent: 184/200 (92.0%)
Epoch   6/1000 | Stage max M: 6 | Train Loss: 0.8193 | Train Consistent: 171/800 (21.4%) | Test Loss: 0.7946 | Test Consistent: 167/200 (83.5%)
Epoch   7/1000 | Stage max M: 6 | Train Loss: 0.7977 | Train Consistent: 181/800 (22.6%) | Test Loss: 0.8091 | Test Consistent: 186/200 (93.0%)
Epoch   8/1000 | Stage max M: 6 | Train Loss: 0.8247 | Train Consistent: 150/800 (18.8%) | Test Loss: 0.8047 | Test Consistent: 180/200 (90.0%)
Epoch   9/1000 | Stage max M: 6 | Train Loss: 0.7951 | Train Consistent: 167/800 (20.9%) | Test Loss: 0.7589 | Test Consistent: 194/200 (97.0%)
Epoch  10/1000 | Stage max M: 6 | Train Loss: 0.8098 | Train Consistent: 162/800 (20.2%) | Test Loss: 0.7827 | Test Consistent: 188/200 (94.0%)
Epoch  11/1000 | Stage max M: 6 | Train Loss: 0.7989 | Train Consistent: 173/800 (21.6%) | Test Loss: 0.7854 | Test Consistent: 184/200 (92.0%)
Epoch  12/1000 | Stage max M: 6 | Train Loss: 0.7873 | Train Consistent: 188/800 (23.5%) | Test Loss: 0.8222 | Test Consistent: 192/200 (96.0%)
Epoch  13/1000 | Stage max M: 6 | Train Loss: 0.7939 | Train Consistent: 178/800 (22.2%) | Test Loss: 0.7939 | Test Consistent: 196/200 (98.0%)
Epoch  14/1000 | Stage max M: 6 | Train Loss: 0.7880 | Train Consistent: 178/800 (22.2%) | Test Loss: 0.7635 | Test Consistent: 181/200 (90.5%)
