trial,state,value,lr,change_penalty,massive_reward,early_finish_bonus,success_rate_std_pct,total_change_pct,total_change_std_pct,empty_before_pct,empty_before_std_pct,empty_after_pct,empty_after_std_pct,net_empty_change_pct,net_empty_change_std_pct
0,TrialState.COMPLETE,100.0,8.791022502265155e-06,3.3155539958558498,198.3616544621403,9.516481943207822,0.0,67.23418831825256,1.8432121283039165,32.38738775253296,0.8848250097394285,53.83094251155853,2.0457511800848773,21.443554759025574,1.5134413803465747
1,TrialState.COMPLETE,100.0,7.278793080747218e-06,1.7553619094114776,149.8218199046563,36.90588487999675,0.0,66.08214676380157,1.2746252860642746,34.86118093132973,3.679872671964209,52.28139907121658,2.047402225893636,17.420218139886856,1.9001517823392777
2,TrialState.COMPLETE,100.0,4.269904672556802e-05,0.9783789291603711,83.1267712046099,34.64513210142972,0.0,45.70436179637909,2.0025699874803817,31.448785960674286,2.1338576241242397,24.025604128837585,3.5418935905250364,-7.4231818318367,2.169393120838068
3,TrialState.COMPLETE,100.0,2.326821413489548e-05,3.264752891416906,104.38308069860821,43.209859420117866,0.0,62.43540495634079,1.5997581188646302,33.32299590110779,2.565751107891591,54.228076338768005,2.4717346296620106,20.905080437660217,0.6027364427889197
4,TrialState.COMPLETE,100.0,5.726656311233823e-06,1.911019720810089,191.5696696538203,46.457848939944526,0.0,68.63220930099487,3.8131991674687007,32.66570046544075,1.5809380217685527,54.56994026899338,2.4149022774796913,21.904239803552628,2.6382220846241777
5,TrialState.COMPLETE,100.0,3.0916595788722746e-05,1.9930499239953405,50.187615195804206,8.394062746257713,0.0,56.215107440948486,3.101512275290756,35.93663424253464,3.2046116826848023,35.520511865615845,6.585304089978203,-0.4161223769187927,4.505100988955199
6,TrialState.COMPLETE,100.0,1.6728364093686905e-06,0.9316606087139014,168.57558986971372,37.54907876028563,0.0,65.77668339014053,1.899616824736896,33.01517963409424,3.5382262014234263,55.49190044403076,1.364668049020564,22.476720809936523,3.0582880880174295
7,TrialState.COMPLETE,100.0,6.142346465261664e-06,0.8871465680652075,62.50801607676802,24.08029881101766,0.0,67.14288592338562,2.0616738476641188,34.78100597858429,1.2323424335343882,53.47246527671814,3.0358338508158056,18.69145929813385,3.711448140806966
8,TrialState.COMPLETE,100.0,1.3336844469160761e-05,3.8856471300091497,63.08348943364706,2.2496478898759276,0.0,66.44306778907776,3.088628117771011,30.03205507993698,6.8296778885341745,51.86428725719452,4.328113273749132,21.832232177257538,5.718224102448752
9,TrialState.COMPLETE,100.0,8.253546079625914e-06,1.612053641371403,107.3028976891618,4.79144271391524,0.0,64.88142609596252,1.3842549478516828,34.55391377210617,3.2941963873860267,55.056700110435486,4.784507908339265,20.502786338329315,2.457046238291363
10,TrialState.COMPLETE,100.0,1.6260762392475817e-06,1.6909851662740711,193.55204982581145,40.156687452592905,0.0,67.636638879776,1.798312092809814,32.45304003357887,2.4970325815912373,56.79585933685303,4.494659153252708,24.342819303274155,6.214366519192292
11,TrialState.COMPLETE,100.0,2.2699156077361065e-05,4.644283190567624,174.32569660589922,45.48863691325862,0.0,65.88349342346191,5.91632947787068,32.811953872442245,2.504516159755597,52.84222140908241,2.375338882127894,20.030267536640167,4.570178158132
12,TrialState.COMPLETE,100.0,1.2864740574298396e-05,1.0153174700917438,140.1396315509852,19.699049818363758,0.0,66.6962742805481,2.841977558716163,31.397083401679993,2.626229105542857,51.76640823483467,2.9288180016947227,20.36932483315468,4.290484158263908
