Generating 1000 consistent theories (N=5, active max M=6, global max M=20)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch   1/100 | Stage max M: 6 | Train Loss: 0.0019 (KL 0.0010 CE 0.9545) | Train Consistent: 50/800 (6.2%) | Test Loss: 0.0018 (KL 0.0008 CE 0.9398) | Test Consistent: 0/200 (0.0%)
Epoch   2/100 | Stage max M: 6 | Train Loss: 0.0019 (KL 0.0010 CE 0.9276) | Train Consistent: 0/800 (0.0%) | Test Loss: 0.0018 (KL 0.0009 CE 0.9266) | Test Consistent: 0/200 (0.0%)
Epoch   3/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9198) | Train Consistent: 4/800 (0.5%) | Test Loss: 0.0019 (KL 0.0010 CE 0.9254) | Test Consistent: 0/200 (0.0%)
Epoch   4/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9105) | Train Consistent: 14/800 (1.8%) | Test Loss: 0.0016 (KL 0.0007 CE 0.9227) | Test Consistent: 199/200 (99.5%)
Epoch   5/100 | Stage max M: 6 | Train Loss: 0.0019 (KL 0.0009 CE 0.9101) | Train Consistent: 23/800 (2.9%) | Test Loss: 0.0020 (KL 0.0011 CE 0.9060) | Test Consistent: 132/200 (66.0%)
Epoch   6/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9035) | Train Consistent: 29/800 (3.6%) | Test Loss: 0.0018 (KL 0.0009 CE 0.9070) | Test Consistent: 200/200 (100.0%)
Epoch   7/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9024) | Train Consistent: 37/800 (4.6%) | Test Loss: 0.0020 (KL 0.0011 CE 0.8943) | Test Consistent: 161/200 (80.5%)
Epoch   8/100 | Stage max M: 6 | Train Loss: 0.0016 (KL 0.0007 CE 0.9030) | Train Consistent: 29/800 (3.6%) | Test Loss: 0.0018 (KL 0.0009 CE 0.8961) | Test Consistent: 200/200 (100.0%)
Epoch   9/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.8915) | Train Consistent: 45/800 (5.6%) | Test Loss: 0.0018 (KL 0.0009 CE 0.9020) | Test Consistent: 200/200 (100.0%)
Epoch  10/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9001) | Train Consistent: 32/800 (4.0%) | Test Loss: 0.0016 (KL 0.0007 CE 0.9075) | Test Consistent: 200/200 (100.0%)
Epoch  11/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0009 CE 0.8940) | Train Consistent: 54/800 (6.8%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9108) | Test Consistent: 200/200 (100.0%)
Epoch  12/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.8961) | Train Consistent: 22/800 (2.8%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8896) | Test Consistent: 200/200 (100.0%)
Epoch  13/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.8836) | Train Consistent: 58/800 (7.2%) | Test Loss: 0.0018 (KL 0.0009 CE 0.8991) | Test Consistent: 200/200 (100.0%)
Epoch  14/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0009 CE 0.8881) | Train Consistent: 53/800 (6.6%) | Test Loss: 0.0021 (KL 0.0012 CE 0.8840) | Test Consistent: 200/200 (100.0%)
Epoch  15/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.8971) | Train Consistent: 30/800 (3.8%) | Test Loss: 0.0018 (KL 0.0009 CE 0.9016) | Test Consistent: 200/200 (100.0%)
Epoch  16/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.8854) | Train Consistent: 62/800 (7.8%) | Test Loss: 0.0018 (KL 0.0009 CE 0.8807) | Test Consistent: 200/200 (100.0%)
Epoch  17/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.8911) | Train Consistent: 54/800 (6.8%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9086) | Test Consistent: 199/200 (99.5%)
Epoch  18/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.8900) | Train Consistent: 53/800 (6.6%) | Test Loss: 0.0018 (KL 0.0009 CE 0.8861) | Test Consistent: 200/200 (100.0%)
Epoch  19/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.8859) | Train Consistent: 67/800 (8.4%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8922) | Test Consistent: 200/200 (100.0%)
Epoch  20/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.8830) | Train Consistent: 78/800 (9.8%) | Test Loss: 0.0018 (KL 0.0009 CE 0.8970) | Test Consistent: 200/200 (100.0%)
Epoch  21/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.8885) | Train Consistent: 60/800 (7.5%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8864) | Test Consistent: 200/200 (100.0%)
Epoch  22/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.8849) | Train Consistent: 66/800 (8.2%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8875) | Test Consistent: 199/200 (99.5%)
Epoch  23/100 | Stage max M: 6 | Train Loss: 0.0016 (KL 0.0007 CE 0.8893) | Train Consistent: 52/800 (6.5%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8894) | Test Consistent: 198/200 (99.0%)
Epoch  24/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.8786) | Train Consistent: 68/800 (8.5%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8765) | Test Consistent: 199/200 (99.5%)
Epoch  25/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.8902) | Train Consistent: 69/800 (8.6%) | Test Loss: 0.0015 (KL 0.0006 CE 0.8983) | Test Consistent: 200/200 (100.0%)
Epoch  26/100 | Stage max M: 6 | Train Loss: 0.0016 (KL 0.0007 CE 0.8928) | Train Consistent: 51/800 (6.4%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8882) | Test Consistent: 200/200 (100.0%)
Epoch  27/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.8854) | Train Consistent: 55/800 (6.9%) | Test Loss: 0.0015 (KL 0.0006 CE 0.8807) | Test Consistent: 200/200 (100.0%)
Epoch  28/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.8846) | Train Consistent: 52/800 (6.5%) | Test Loss: 0.0019 (KL 0.0010 CE 0.8838) | Test Consistent: 200/200 (100.0%)
Epoch  29/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.8792) | Train Consistent: 83/800 (10.4%) | Test Loss: 0.0020 (KL 0.0011 CE 0.8872) | Test Consistent: 197/200 (98.5%)
Epoch  30/100 | Stage max M: 6 | Train Loss: 0.0016 (KL 0.0007 CE 0.8749) | Train Consistent: 87/800 (10.9%) | Test Loss: 0.0016 (KL 0.0008 CE 0.8700) | Test Consistent: 200/200 (100.0%)
Epoch  31/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.8829) | Train Consistent: 78/800 (9.8%) | Test Loss: 0.0018 (KL 0.0009 CE 0.8695) | Test Consistent: 199/200 (99.5%)
Epoch  32/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.8787) | Train Consistent: 98/800 (12.2%) | Test Loss: 0.0017 (KL 0.0009 CE 0.8784) | Test Consistent: 199/200 (99.5%)

[Curriculum] Epoch 33: switching active max clauses to 13
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
Epoch  33/100 | Stage max M: 13 | Train Loss: 0.0016 (KL 0.0008 CE 0.8669) | Train Consistent: 56/800 (7.0%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8651) | Test Consistent: 200/200 (100.0%)
Epoch  34/100 | Stage max M: 13 | Train Loss: 0.0016 (KL 0.0008 CE 0.8702) | Train Consistent: 79/800 (9.9%) | Test Loss: 0.0015 (KL 0.0007 CE 0.8579) | Test Consistent: 200/200 (100.0%)
Epoch  35/100 | Stage max M: 13 | Train Loss: 0.0016 (KL 0.0007 CE 0.8652) | Train Consistent: 88/800 (11.0%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8598) | Test Consistent: 200/200 (100.0%)
