trial,state,value,lr,change_penalty,massive_reward,early_finish_bonus,empty_penalty,success_rate_std_pct,total_change_pct,total_change_std_pct,empty_before_pct,empty_before_std_pct,empty_after_pct,empty_after_std_pct,net_empty_change_pct,net_empty_change_std_pct
0,TrialState.COMPLETE,100.0,3.7233875977337095e-05,0.6,50.0,24.0,8.0,0.0,53.28350365161896,3.1259315634257234,47.59320467710495,2.8044320708460284,35.551296919584274,3.6480718047413516,-12.041907757520676,0.9262684126691884
1,TrialState.COMPLETE,100.0,1.2953515494360928e-06,3.8000000000000003,170.0,5.0,6.5,0.0,56.165989488363266,4.871995579410923,44.783200323581696,5.202186245714526,48.24067801237106,4.764704371496453,3.4574776887893677,4.821042191951065
2,TrialState.COMPLETE,100.0,1.8606260644648867e-05,2.4000000000000004,90.0,33.0,3.0,0.0,55.7694174349308,5.84332777365693,45.28598263859749,6.387147182875308,40.02808481454849,5.476399826754998,-5.257897824048996,1.4726901002166286
3,TrialState.COMPLETE,100.0,4.5667229026536324e-05,1.8,50.0,48.0,2.0,0.0,51.1605940759182,3.3322551669012204,47.709404677152634,1.8346573616760005,41.75625070929527,1.758600264851801,-5.953153967857361,1.1105066411690354
4,TrialState.COMPLETE,100.0,2.8947817076152396e-05,4.300000000000001,145.0,7.0,8.0,0.0,49.5869442820549,5.516732544802164,51.07023045420647,2.877958586388709,47.5850485265255,3.793550935549251,-3.4851819276809692,1.0280566056984872
5,TrialState.COMPLETE,100.0,2.961492543522288e-06,4.5,195.0,46.0,1.0,0.0,55.51106184720993,3.4494629290856174,48.92749562859535,2.2527764188966297,50.2359077334404,2.937046769758875,1.308412104845047,5.10952292605652
6,TrialState.COMPLETE,100.0,1.1624090848996705e-05,2.9000000000000004,50.0,35.0,8.5,0.0,52.407196164131165,2.412652311262701,51.08594596385956,2.8072712708709027,42.27095618844032,4.4803109042432085,-8.814989775419235,3.8277434900998797
7,TrialState.COMPLETE,100.0,3.967609180751134e-06,1.5,185.0,45.0,4.5,0.0,58.37964117527008,0.6584809077313272,44.76645514369011,0.531875849954018,39.995045214891434,1.661554689225442,-4.7714099287986755,1.8285990756040689
8,TrialState.COMPLETE,100.0,5.319258168937554e-06,1.9000000000000001,190.0,46.0,9.0,0.0,57.126523554325104,3.56578407301052,46.75256684422493,3.1734751055600943,38.702814280986786,1.4778425489054234,-8.049752563238144,1.8583359047520458
9,TrialState.COMPLETE,100.0,2.3609257710557133e-06,2.0,170.0,49.0,1.5,0.0,50.700581818819046,6.096461467430882,53.401003032922745,6.225543180591226,52.222536504268646,4.177470938654765,-1.1784665286540985,4.960689655287255
10,TrialState.COMPLETE,100.0,2.1194453974822802e-05,2.8000000000000003,60.0,30.0,5.5,0.0,55.870673060417175,2.5288192570200843,46.54322639107704,2.9881250732343556,39.8081049323082,2.53848460993512,-6.735121458768845,2.165412381727709
11,TrialState.COMPLETE,100.0,2.4859982860293732e-05,1.1,140.0,29.0,9.5,0.0,54.687030613422394,5.145795454532211,47.695284336805344,5.314620482147661,37.602583318948746,5.780794711513373,-10.092701017856598,0.8370548555644135
12,TrialState.COMPLETE,100.0,1.379554023966049e-06,4.7,155.0,5.0,6.5,0.0,53.97079959511757,6.177201974242197,46.861670166254044,4.241467198949457,48.693349212408066,1.5096061623235981,1.8316790461540222,3.0116519283974768
13,TrialState.COMPLETE,100.0,1.8231213459268292e-06,2.2,195.0,2.0,4.5,0.0,56.835293769836426,1.833313840437425,47.67432138323784,2.7238288067652454,44.22376751899719,3.1549969620329334,-3.4505538642406464,5.832740136043892
14,TrialState.COMPLETE,100.0,2.3916856535932705e-05,4.300000000000001,185.0,31.0,3.0,0.0,56.083013117313385,3.042078714147294,42.18389168381691,5.722898497038604,38.10029998421669,8.589965132593292,-4.08359169960022,2.8858905573700047
15,TrialState.COMPLETE,100.0,2.543911831058038e-06,1.3,60.0,42.0,5.5,0.0,58.611954748630524,3.297926192838039,44.266095012426376,5.229057723111355,42.66403019428253,4.132812607352863,-1.6020648181438446,2.9591813679547934
16,TrialState.COMPLETE,100.0,4.174050855083544e-05,2.7,125.0,42.0,7.0,0.0,50.201769173145294,4.747565584675069,48.937299102544785,6.355008554286252,43.166885524988174,5.096104090361042,-5.77041357755661,1.7735714907276854
17,TrialState.COMPLETE,100.0,3.756306603928536e-05,1.0,195.0,47.0,4.5,0.0,47.71352931857109,3.2427007003322186,53.785088658332825,4.47689527555056,46.59998491406441,4.6758077103094235,-7.185103744268417,0.4491295888668079
18,TrialState.COMPLETE,100.0,5.28494242844756e-06,3.4000000000000004,95.0,30.0,9.5,0.0,52.35970318317413,7.0080246288919446,52.62736454606056,5.810289094552927,44.306040555238724,4.891717381296793,-8.321323990821838,1.3701330387455555
19,TrialState.COMPLETE,100.0,1.294735817075604e-05,0.9,65.0,18.0,7.0,0.0,53.604742884635925,0.7927609443961224,49.82528164982796,1.9981071251180726,41.94034039974213,3.8151338610254046,-7.884941250085831,2.423972254152751
20,TrialState.COMPLETE,100.0,1.505920578897614e-06,3.3000000000000003,95.0,35.0,5.0,0.0,53.49345654249191,5.994595186459836,47.539208829402924,7.292937214787601,46.890850365161896,3.1701846956991218,-0.6483584642410278,5.171059056193827
21,TrialState.COMPLETE,100.0,3.595385178427573e-06,2.5,90.0,24.0,8.0,0.0,56.3054233789444,3.6962735866449967,48.321811854839325,1.9986195295361733,39.67651277780533,1.7108554663684903,-8.645299077033997,1.202729299371829
22,TrialState.COMPLETE,100.0,2.14056723086728e-05,0.8,60.0,30.0,10.0,0.0,52.44652107357979,5.84264269631862,52.24565640091896,6.191388760409021,42.77525618672371,6.405914500403508,-9.470400214195251,0.9989381857169864
23,TrialState.COMPLETE,100.0,1.9271717836871026e-05,0.6,100.0,11.0,5.0,0.0,49.23163950443268,3.564682813619499,51.76461786031723,3.791427200789758,42.045725882053375,3.964469560598457,-9.718891978263855,2.0788385892784134
24,TrialState.COMPLETE,100.0,1.0252236958123409e-05,2.3,70.0,27.0,3.5,0.0,52.21058502793312,5.410173088194327,50.01867339015007,4.3551241209832865,45.007697492837906,5.416243312224037,-5.010975897312164,2.3835477860244665
25,TrialState.COMPLETE,100.0,3.7259205545807944e-05,1.1,65.0,10.0,6.0,0.0,53.531044721603394,2.3874170411919886,49.230483919382095,3.1394234888394776,41.41407907009125,3.0984630284907895,-7.816404849290848,2.097616269129875
26,TrialState.COMPLETE,100.0,1.4225040376226832e-05,1.2000000000000002,130.0,28.0,9.0,0.0,56.098200380802155,3.5652862812665496,45.351871848106384,1.5251224866970954,37.39768713712692,2.1101656974554706,-7.954184710979462,1.0825444063599154
27,TrialState.COMPLETE,100.0,3.9982426983783235e-05,2.6,75.0,45.0,10.0,0.0,51.773751527071,3.1265775336418318,46.98069393634796,5.29171578926422,38.405077904462814,5.954920465238501,-8.575616031885147,0.6786466486465975
28,TrialState.COMPLETE,100.0,2.1435485522046925e-05,1.8,175.0,49.0,7.0,0.0,56.58988282084465,6.289667656315447,45.925503224134445,4.434374393519916,38.936661183834076,4.498404105247504,-6.988842040300369,0.765093321395266
29,TrialState.COMPLETE,100.0,2.557635661440534e-06,2.1,80.0,46.0,6.0,0.0,54.01325523853302,3.747316513786483,48.19873049855232,3.432520372185587,45.909325778484344,2.311283530119853,-2.289404720067978,1.5535129641596408
30,TrialState.COMPLETE,100.0,2.5111088248840175e-05,1.4,155.0,49.0,8.5,0.0,57.66329914331436,2.663772963931811,42.94153079390526,2.9348812715180843,34.44346487522125,4.170257313709703,-8.498065918684006,1.385116820329315
31,TrialState.COMPLETE,100.0,4.260029809020232e-05,4.5,175.0,45.0,1.5,0.0,48.541346192359924,2.0812133572706077,47.20722511410713,2.6447323044868325,44.80982795357704,3.20713892829895,-2.3973971605300903,2.1905936621069717
32,TrialState.COMPLETE,100.0,5.973906361626268e-06,1.9000000000000001,130.0,31.0,3.5,0.0,55.070413649082184,2.560375487538842,49.149686098098755,4.7922082397694075,43.38347911834717,4.86945091963657,-5.766206979751587,1.8951546164867779
