Generating 1000 consistent theories (N=5, active max M=6, global max M=20)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch  27/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9255) | Train Consistent: 65/800 (8.1%) | Test Loss: 0.0020 (KL 0.0010 CE 0.9243) | Test Consistent: 200/200 (100.0%)
Epoch  28/100 | Stage max M: 6 | Train Loss: 0.0019 (KL 0.0010 CE 0.9274) | Train Consistent: 69/800 (8.6%) | Test Loss: 0.0020 (KL 0.0011 CE 0.9120) | Test Consistent: 200/200 (100.0%)
Epoch  29/100 | Stage max M: 6 | Train Loss: 0.0019 (KL 0.0009 CE 0.9208) | Train Consistent: 72/800 (9.0%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9099) | Test Consistent: 200/200 (100.0%)
Epoch  30/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.9268) | Train Consistent: 58/800 (7.2%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9101) | Test Consistent: 195/200 (97.5%)
Epoch  31/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9220) | Train Consistent: 73/800 (9.1%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9055) | Test Consistent: 165/200 (82.5%)
Epoch  32/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0008 CE 0.9201) | Train Consistent: 82/800 (10.2%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9098) | Test Consistent: 198/200 (99.0%)

[Curriculum] Epoch 33: switching active max clauses to 13
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
Epoch  33/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8978) | Train Consistent: 60/800 (7.5%) | Test Loss: 0.0016 (KL 0.0007 CE 0.9209) | Test Consistent: 198/200 (99.0%)
Epoch  34/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8991) | Train Consistent: 49/800 (6.1%) | Test Loss: 0.0018 (KL 0.0009 CE 0.9013) | Test Consistent: 200/200 (100.0%)
Epoch  35/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8969) | Train Consistent: 72/800 (9.0%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8989) | Test Consistent: 200/200 (100.0%)
Epoch  36/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8902) | Train Consistent: 83/800 (10.4%) | Test Loss: 0.0018 (KL 0.0009 CE 0.9092) | Test Consistent: 200/200 (100.0%)
Epoch  37/100 | Stage max M: 13 | Train Loss: 0.0018 (KL 0.0009 CE 0.8867) | Train Consistent: 103/800 (12.9%) | Test Loss: 0.0020 (KL 0.0011 CE 0.9048) | Test Consistent: 198/200 (99.0%)
Epoch  38/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8921) | Train Consistent: 78/800 (9.8%) | Test Loss: 0.0016 (KL 0.0008 CE 0.8848) | Test Consistent: 200/200 (100.0%)
Epoch  39/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8950) | Train Consistent: 65/800 (8.1%) | Test Loss: 0.0016 (KL 0.0007 CE 0.9109) | Test Consistent: 199/200 (99.5%)
Epoch  40/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8885) | Train Consistent: 90/800 (11.2%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8913) | Test Consistent: 194/200 (97.0%)
Epoch  41/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8783) | Train Consistent: 93/800 (11.6%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8949) | Test Consistent: 200/200 (100.0%)
Epoch  42/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8877) | Train Consistent: 86/800 (10.8%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8907) | Test Consistent: 200/200 (100.0%)
Epoch  43/100 | Stage max M: 13 | Train Loss: 0.0016 (KL 0.0007 CE 0.8887) | Train Consistent: 100/800 (12.5%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8895) | Test Consistent: 200/200 (100.0%)
Epoch  44/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8888) | Train Consistent: 98/800 (12.2%) | Test Loss: 0.0019 (KL 0.0010 CE 0.8738) | Test Consistent: 200/200 (100.0%)
Epoch  45/100 | Stage max M: 13 | Train Loss: 0.0018 (KL 0.0009 CE 0.8904) | Train Consistent: 81/800 (10.1%) | Test Loss: 0.0018 (KL 0.0010 CE 0.8859) | Test Consistent: 199/200 (99.5%)
Epoch  46/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8783) | Train Consistent: 91/800 (11.4%) | Test Loss: 0.0015 (KL 0.0006 CE 0.8983) | Test Consistent: 200/200 (100.0%)
Epoch  47/100 | Stage max M: 13 | Train Loss: 0.0018 (KL 0.0009 CE 0.8852) | Train Consistent: 86/800 (10.8%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8817) | Test Consistent: 200/200 (100.0%)
Epoch  48/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0009 CE 0.8853) | Train Consistent: 100/800 (12.5%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8923) | Test Consistent: 200/200 (100.0%)
Epoch  49/100 | Stage max M: 13 | Train Loss: 0.0018 (KL 0.0009 CE 0.8960) | Train Consistent: 72/800 (9.0%) | Test Loss: 0.0014 (KL 0.0005 CE 0.9088) | Test Consistent: 200/200 (100.0%)
Epoch  50/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8828) | Train Consistent: 85/800 (10.6%) | Test Loss: 0.0016 (KL 0.0008 CE 0.8673) | Test Consistent: 198/200 (99.0%)
Epoch  51/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8889) | Train Consistent: 81/800 (10.1%) | Test Loss: 0.0019 (KL 0.0011 CE 0.8557) | Test Consistent: 200/200 (100.0%)
Epoch  52/100 | Stage max M: 13 | Train Loss: 0.0016 (KL 0.0007 CE 0.8819) | Train Consistent: 108/800 (13.5%) | Test Loss: 0.0020 (KL 0.0011 CE 0.8647) | Test Consistent: 200/200 (100.0%)
Epoch  53/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0009 CE 0.8834) | Train Consistent: 92/800 (11.5%) | Test Loss: 0.0018 (KL 0.0009 CE 0.8904) | Test Consistent: 199/200 (99.5%)
Epoch  54/100 | Stage max M: 13 | Train Loss: 0.0015 (KL 0.0007 CE 0.8810) | Train Consistent: 84/800 (10.5%) | Test Loss: 0.0015 (KL 0.0006 CE 0.8935) | Test Consistent: 199/200 (99.5%)
Epoch  55/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0009 CE 0.8725) | Train Consistent: 115/800 (14.4%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8773) | Test Consistent: 200/200 (100.0%)
Epoch  56/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8754) | Train Consistent: 105/800 (13.1%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8751) | Test Consistent: 199/200 (99.5%)
Epoch  57/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0009 CE 0.8779) | Train Consistent: 117/800 (14.6%) | Test Loss: 0.0015 (KL 0.0006 CE 0.8860) | Test Consistent: 200/200 (100.0%)
Epoch  58/100 | Stage max M: 13 | Train Loss: 0.0018 (KL 0.0009 CE 0.8751) | Train Consistent: 97/800 (12.1%) | Test Loss: 0.0019 (KL 0.0010 CE 0.8598) | Test Consistent: 200/200 (100.0%)
Epoch  59/100 | Stage max M: 13 | Train Loss: 0.0016 (KL 0.0007 CE 0.8906) | Train Consistent: 88/800 (11.0%) | Test Loss: 0.0015 (KL 0.0006 CE 0.8927) | Test Consistent: 200/200 (100.0%)
Epoch  60/100 | Stage max M: 13 | Train Loss: 0.0016 (KL 0.0008 CE 0.8832) | Train Consistent: 109/800 (13.6%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8861) | Test Consistent: 199/200 (99.5%)
