Generating 1000 consistent theories (N=20, active max M=5, global max M=40)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch   1/500 | Stage max M: 5 | Train Loss: 0.8874 | Train Consistent: 47/800 (5.9%) | Test Loss: 0.8616 | Test Consistent: 0/16 (0.0%)
Epoch   2/500 | Stage max M: 5 | Train Loss: 0.8697 | Train Consistent: 0/800 (0.0%) | Test Loss: 0.8576 | Test Consistent: 0/16 (0.0%)
Epoch   3/500 | Stage max M: 5 | Train Loss: 0.8561 | Train Consistent: 20/800 (2.5%) | Test Loss: 0.8357 | Test Consistent: 0/16 (0.0%)
Epoch   4/500 | Stage max M: 5 | Train Loss: 0.8412 | Train Consistent: 67/800 (8.4%) | Test Loss: 0.8243 | Test Consistent: 11/16 (68.8%)
Epoch   5/500 | Stage max M: 5 | Train Loss: 0.8106 | Train Consistent: 166/800 (20.8%) | Test Loss: 0.8019 | Test Consistent: 16/16 (100.0%)
Epoch   6/500 | Stage max M: 5 | Train Loss: 0.8144 | Train Consistent: 159/800 (19.9%) | Test Loss: 0.8131 | Test Consistent: 16/16 (100.0%)
Epoch   7/500 | Stage max M: 5 | Train Loss: 0.8096 | Train Consistent: 157/800 (19.6%) | Test Loss: 0.7936 | Test Consistent: 15/16 (93.8%)
Epoch   8/500 | Stage max M: 5 | Train Loss: 0.8004 | Train Consistent: 184/800 (23.0%) | Test Loss: 0.8042 | Test Consistent: 15/16 (93.8%)
Epoch   9/500 | Stage max M: 5 | Train Loss: 0.7968 | Train Consistent: 179/800 (22.4%) | Test Loss: 0.7859 | Test Consistent: 16/16 (100.0%)
Epoch  10/500 | Stage max M: 5 | Train Loss: 0.7928 | Train Consistent: 184/800 (23.0%) | Test Loss: 0.7876 | Test Consistent: 16/16 (100.0%)
Epoch  11/500 | Stage max M: 5 | Train Loss: 0.7882 | Train Consistent: 200/800 (25.0%) | Test Loss: 0.7685 | Test Consistent: 16/16 (100.0%)
Epoch  12/500 | Stage max M: 5 | Train Loss: 0.7974 | Train Consistent: 180/800 (22.5%) | Test Loss: 0.7847 | Test Consistent: 16/16 (100.0%)
Epoch  13/500 | Stage max M: 5 | Train Loss: 0.7887 | Train Consistent: 195/800 (24.4%) | Test Loss: 0.7863 | Test Consistent: 16/16 (100.0%)
Epoch  14/500 | Stage max M: 5 | Train Loss: 0.7894 | Train Consistent: 182/800 (22.8%) | Test Loss: 0.7661 | Test Consistent: 16/16 (100.0%)
Epoch  15/500 | Stage max M: 5 | Train Loss: 0.7821 | Train Consistent: 210/800 (26.2%) | Test Loss: 0.7929 | Test Consistent: 16/16 (100.0%)
Epoch  16/500 | Stage max M: 5 | Train Loss: 0.7809 | Train Consistent: 215/800 (26.9%) | Test Loss: 0.7538 | Test Consistent: 16/16 (100.0%)
Epoch  17/500 | Stage max M: 5 | Train Loss: 0.7837 | Train Consistent: 193/800 (24.1%) | Test Loss: 0.7524 | Test Consistent: 16/16 (100.0%)
Epoch  18/500 | Stage max M: 5 | Train Loss: 0.7731 | Train Consistent: 211/800 (26.4%) | Test Loss: 0.8123 | Test Consistent: 16/16 (100.0%)
Epoch  19/500 | Stage max M: 5 | Train Loss: 0.7624 | Train Consistent: 222/800 (27.8%) | Test Loss: 0.7594 | Test Consistent: 16/16 (100.0%)
Epoch  20/500 | Stage max M: 5 | Train Loss: 0.7840 | Train Consistent: 196/800 (24.5%) | Test Loss: 0.7698 | Test Consistent: 16/16 (100.0%)
Epoch  21/500 | Stage max M: 5 | Train Loss: 0.7739 | Train Consistent: 197/800 (24.6%) | Test Loss: 0.7745 | Test Consistent: 16/16 (100.0%)
Epoch  22/500 | Stage max M: 5 | Train Loss: 0.7778 | Train Consistent: 200/800 (25.0%) | Test Loss: 0.7727 | Test Consistent: 16/16 (100.0%)
Epoch  23/500 | Stage max M: 5 | Train Loss: 0.7753 | Train Consistent: 197/800 (24.6%) | Test Loss: 0.7487 | Test Consistent: 16/16 (100.0%)
Epoch  24/500 | Stage max M: 5 | Train Loss: 0.7691 | Train Consistent: 222/800 (27.8%) | Test Loss: 0.7543 | Test Consistent: 16/16 (100.0%)
Epoch  25/500 | Stage max M: 5 | Train Loss: 0.7771 | Train Consistent: 204/800 (25.5%) | Test Loss: 0.7703 | Test Consistent: 16/16 (100.0%)
Epoch  26/500 | Stage max M: 5 | Train Loss: 0.7866 | Train Consistent: 178/800 (22.2%) | Test Loss: 0.7694 | Test Consistent: 16/16 (100.0%)
