trial,state,value,lr,change_penalty,massive_reward,early_finish_bonus,empty_penalty,ppo_epochs,ppo_clip,entropy_coef,success_rate_std_pct,total_change_pct,total_change_std_pct,empty_before_pct,empty_before_std_pct,empty_after_pct,empty_after_std_pct,net_empty_change_pct,net_empty_change_std_pct
0,TrialState.COMPLETE,100.0,6.161121626047505e-06,0.0681685568412736,260.0,12.0,6.0,2,0.16708338492770575,0.001606480097968555,0.0,58.595312386751175,0.8043183871722508,55.000488832592964,0.9607051363859279,55.23447286337614,1.031502580266524,0.23398403078317642,1.4292412237574952
1,TrialState.COMPLETE,100.0,2.1416520346251815e-06,0.025754874925575655,340.0,13.0,11.0,4,0.27314639768768256,0.007557697153807675,0.0,59.211816377937794,1.0008669211926027,55.04540991038084,0.9588115212659282,53.88466775417328,1.3019932244407046,-1.1607421562075615,1.5890180423158677
2,TrialState.COMPLETE,100.0,7.914508358790253e-06,0.020515854651752503,100.0,1.0,7.0,4,0.11582561351884356,0.0019848405493852507,0.0,58.84033203125,0.8849505720960963,55.05878921598196,0.9172717459229216,53.415234331041574,0.9622767963182901,-1.6435548849403858,1.2689954530696927
3,TrialState.COMPLETE,100.0,1.9862252514854117e-06,0.307781021373761,400.0,9.0,12.0,5,0.10104110382153886,0.008723236507951666,0.0,58.92548870295286,0.8175493720059859,54.99023415148258,0.936786847840765,54.68544941395521,0.7948062778881698,-0.30478473752737045,1.064208276557447
4,TrialState.COMPLETE,100.0,5.964404642547372e-05,0.013610182202522633,200.0,18.0,6.0,5,0.11382276670903908,0.016965292281781143,0.0,50.01367200165987,2.404127343274716,55.044531263411045,0.9814593536394838,47.23603516817093,1.4995092025689072,-7.808496095240116,1.4243074916278675
5,TrialState.COMPLETE,100.0,9.871806672614803e-06,0.470450261866537,300.0,0.0,18.0,3,0.16286373405455473,0.001877713810046771,0.0,58.84667992591858,0.952949010859547,55.04267606884241,0.9170678076249642,53.87480419129133,1.1013297930048027,-1.1678718775510788,1.3784503142262547
6,TrialState.COMPLETE,100.0,2.3377756434620972e-05,0.19453311456263978,160.0,15.0,20.0,3,0.23255243580794885,0.002581916385718161,0.0,61.68222676962614,0.7295174160462943,55.063086077570915,0.8795871283681688,47.54550762474537,1.0156626347704079,-7.517578452825546,1.2323211482827958
7,TrialState.COMPLETE,100.0,2.63314183561807e-06,0.04782795551814721,280.0,13.0,17.0,2,0.20131478297149347,0.003826384569572086,0.0,58.86865250766277,0.8563120259965843,54.98203106224537,0.8766552998093563,55.65087929368019,1.0003042163550464,0.6688482314348221,1.4262882820959202
8,TrialState.COMPLETE,100.0,7.968157288618035e-06,0.07725943485407552,140.0,1.0,7.0,4,0.16717788325233635,0.002877219447845554,0.0,60.731347911059856,0.7241078916805558,54.971972927451134,0.9482305384155008,50.673632491379976,0.8732131899979991,-4.2983404360711575,1.2684469078096885
9,TrialState.COMPLETE,100.0,1.3165507917048528e-05,0.07836448775773175,240.0,18.0,11.0,5,0.23738439726343144,0.005288605116935223,0.0,61.015917621552944,0.9414853311226549,54.99414075165987,0.9185083818735709,48.67294903844595,0.8999592480185586,-6.321191713213921,1.3794493011273874
