Generating 1000 consistent theories (N=5, active max M=6, global max M=20)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch   1/100 | Stage max M: 6 | Train Loss: 0.9637 | Train Consistent: 81/800 (10.1%) | Test Loss: 0.9089 | Test Consistent: 0/200 (0.0%)
Epoch   2/100 | Stage max M: 6 | Train Loss: 0.9215 | Train Consistent: 0/800 (0.0%) | Test Loss: 0.8957 | Test Consistent: 0/200 (0.0%)
Epoch   3/100 | Stage max M: 6 | Train Loss: 0.9126 | Train Consistent: 2/800 (0.2%) | Test Loss: 0.8993 | Test Consistent: 7/200 (3.5%)
Epoch   4/100 | Stage max M: 6 | Train Loss: 0.8948 | Train Consistent: 30/800 (3.8%) | Test Loss: 0.8502 | Test Consistent: 162/200 (81.0%)
Epoch   5/100 | Stage max M: 6 | Train Loss: 0.8743 | Train Consistent: 74/800 (9.2%) | Test Loss: 0.8628 | Test Consistent: 171/200 (85.5%)
Epoch   6/100 | Stage max M: 6 | Train Loss: 0.8822 | Train Consistent: 80/800 (10.0%) | Test Loss: 0.8540 | Test Consistent: 195/200 (97.5%)
Epoch   7/100 | Stage max M: 6 | Train Loss: 0.8723 | Train Consistent: 101/800 (12.6%) | Test Loss: 0.8185 | Test Consistent: 183/200 (91.5%)
Epoch   8/100 | Stage max M: 6 | Train Loss: 0.8549 | Train Consistent: 137/800 (17.1%) | Test Loss: 0.8192 | Test Consistent: 169/200 (84.5%)
Epoch   9/100 | Stage max M: 6 | Train Loss: 0.8463 | Train Consistent: 153/800 (19.1%) | Test Loss: 0.8390 | Test Consistent: 190/200 (95.0%)
Epoch  10/100 | Stage max M: 6 | Train Loss: 0.8380 | Train Consistent: 179/800 (22.4%) | Test Loss: 0.8202 | Test Consistent: 178/200 (89.0%)
Epoch  11/100 | Stage max M: 6 | Train Loss: 0.8398 | Train Consistent: 158/800 (19.8%) | Test Loss: 0.8276 | Test Consistent: 182/200 (91.0%)
Epoch  12/100 | Stage max M: 6 | Train Loss: 0.8453 | Train Consistent: 152/800 (19.0%) | Test Loss: 0.8234 | Test Consistent: 183/200 (91.5%)
Epoch  13/100 | Stage max M: 6 | Train Loss: 0.8319 | Train Consistent: 173/800 (21.6%) | Test Loss: 0.8187 | Test Consistent: 193/200 (96.5%)
Epoch  14/100 | Stage max M: 6 | Train Loss: 0.8432 | Train Consistent: 135/800 (16.9%) | Test Loss: 0.8190 | Test Consistent: 177/200 (88.5%)
Epoch  15/100 | Stage max M: 6 | Train Loss: 0.8420 | Train Consistent: 152/800 (19.0%) | Test Loss: 0.8128 | Test Consistent: 196/200 (98.0%)
Epoch  16/100 | Stage max M: 6 | Train Loss: 0.8467 | Train Consistent: 138/800 (17.2%) | Test Loss: 0.8174 | Test Consistent: 192/200 (96.0%)
Epoch  17/100 | Stage max M: 6 | Train Loss: 0.8387 | Train Consistent: 156/800 (19.5%) | Test Loss: 0.7949 | Test Consistent: 189/200 (94.5%)
Epoch  18/100 | Stage max M: 6 | Train Loss: 0.8341 | Train Consistent: 153/800 (19.1%) | Test Loss: 0.8109 | Test Consistent: 194/200 (97.0%)
Epoch  19/100 | Stage max M: 6 | Train Loss: 0.8205 | Train Consistent: 182/800 (22.8%) | Test Loss: 0.8119 | Test Consistent: 186/200 (93.0%)
Epoch  20/100 | Stage max M: 6 | Train Loss: 0.8246 | Train Consistent: 179/800 (22.4%) | Test Loss: 0.7899 | Test Consistent: 195/200 (97.5%)
Epoch  21/100 | Stage max M: 6 | Train Loss: 0.8227 | Train Consistent: 179/800 (22.4%) | Test Loss: 0.8039 | Test Consistent: 189/200 (94.5%)
Epoch  22/100 | Stage max M: 6 | Train Loss: 0.8220 | Train Consistent: 162/800 (20.2%) | Test Loss: 0.7889 | Test Consistent: 190/200 (95.0%)
Epoch  23/100 | Stage max M: 6 | Train Loss: 0.8212 | Train Consistent: 169/800 (21.1%) | Test Loss: 0.8176 | Test Consistent: 195/200 (97.5%)
Epoch  24/100 | Stage max M: 6 | Train Loss: 0.8323 | Train Consistent: 160/800 (20.0%) | Test Loss: 0.8072 | Test Consistent: 191/200 (95.5%)
Epoch  25/100 | Stage max M: 6 | Train Loss: 0.8255 | Train Consistent: 175/800 (21.9%) | Test Loss: 0.8008 | Test Consistent: 185/200 (92.5%)
Epoch  26/100 | Stage max M: 6 | Train Loss: 0.8136 | Train Consistent: 188/800 (23.5%) | Test Loss: 0.7757 | Test Consistent: 187/200 (93.5%)
Epoch  27/100 | Stage max M: 6 | Train Loss: 0.8312 | Train Consistent: 165/800 (20.6%) | Test Loss: 0.8096 | Test Consistent: 183/200 (91.5%)
Epoch  28/100 | Stage max M: 6 | Train Loss: 0.8205 | Train Consistent: 165/800 (20.6%) | Test Loss: 0.7888 | Test Consistent: 198/200 (99.0%)
Epoch  29/100 | Stage max M: 6 | Train Loss: 0.8203 | Train Consistent: 170/800 (21.2%) | Test Loss: 0.8040 | Test Consistent: 188/200 (94.0%)
Epoch  30/100 | Stage max M: 6 | Train Loss: 0.8224 | Train Consistent: 168/800 (21.0%) | Test Loss: 0.7884 | Test Consistent: 174/200 (87.0%)
Epoch  31/100 | Stage max M: 6 | Train Loss: 0.8235 | Train Consistent: 163/800 (20.4%) | Test Loss: 0.8092 | Test Consistent: 184/200 (92.0%)
Epoch  32/100 | Stage max M: 6 | Train Loss: 0.8192 | Train Consistent: 174/800 (21.8%) | Test Loss: 0.7834 | Test Consistent: 190/200 (95.0%)

[Curriculum] Epoch 33: switching active max clauses to 13
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
Epoch  33/100 | Stage max M: 13 | Train Loss: 0.8241 | Train Consistent: 135/800 (16.9%) | Test Loss: 0.7990 | Test Consistent: 175/200 (87.5%)
Epoch  34/100 | Stage max M: 13 | Train Loss: 0.8141 | Train Consistent: 153/800 (19.1%) | Test Loss: 0.8089 | Test Consistent: 162/200 (81.0%)
Epoch  35/100 | Stage max M: 13 | Train Loss: 0.8210 | Train Consistent: 136/800 (17.0%) | Test Loss: 0.8172 | Test Consistent: 186/200 (93.0%)
Epoch  36/100 | Stage max M: 13 | Train Loss: 0.8060 | Train Consistent: 160/800 (20.0%) | Test Loss: 0.8126 | Test Consistent: 182/200 (91.0%)
Epoch  37/100 | Stage max M: 13 | Train Loss: 0.8239 | Train Consistent: 140/800 (17.5%) | Test Loss: 0.7835 | Test Consistent: 159/200 (79.5%)
Epoch  38/100 | Stage max M: 13 | Train Loss: 0.8217 | Train Consistent: 134/800 (16.8%) | Test Loss: 0.7955 | Test Consistent: 188/200 (94.0%)
Epoch  39/100 | Stage max M: 13 | Train Loss: 0.8255 | Train Consistent: 141/800 (17.6%) | Test Loss: 0.7816 | Test Consistent: 180/200 (90.0%)
Epoch  40/100 | Stage max M: 13 | Train Loss: 0.8124 | Train Consistent: 153/800 (19.1%) | Test Loss: 0.7851 | Test Consistent: 170/200 (85.0%)
Epoch  41/100 | Stage max M: 13 | Train Loss: 0.8039 | Train Consistent: 149/800 (18.6%) | Test Loss: 0.7685 | Test Consistent: 171/200 (85.5%)
Epoch  42/100 | Stage max M: 13 | Train Loss: 0.8115 | Train Consistent: 141/800 (17.6%) | Test Loss: 0.8116 | Test Consistent: 184/200 (92.0%)
Epoch  43/100 | Stage max M: 13 | Train Loss: 0.8091 | Train Consistent: 146/800 (18.2%) | Test Loss: 0.7867 | Test Consistent: 149/200 (74.5%)
Epoch  44/100 | Stage max M: 13 | Train Loss: 0.8096 | Train Consistent: 155/800 (19.4%) | Test Loss: 0.7979 | Test Consistent: 196/200 (98.0%)
Epoch  45/100 | Stage max M: 13 | Train Loss: 0.8059 | Train Consistent: 151/800 (18.9%) | Test Loss: 0.7761 | Test Consistent: 126/200 (63.0%)
Epoch  46/100 | Stage max M: 13 | Train Loss: 0.8156 | Train Consistent: 132/800 (16.5%) | Test Loss: 0.7933 | Test Consistent: 162/200 (81.0%)
Epoch  47/100 | Stage max M: 13 | Train Loss: 0.7982 | Train Consistent: 159/800 (19.9%) | Test Loss: 0.7829 | Test Consistent: 155/200 (77.5%)
Epoch  48/100 | Stage max M: 13 | Train Loss: 0.8167 | Train Consistent: 142/800 (17.8%) | Test Loss: 0.8093 | Test Consistent: 151/200 (75.5%)
Epoch  49/100 | Stage max M: 13 | Train Loss: 0.8015 | Train Consistent: 156/800 (19.5%) | Test Loss: 0.7943 | Test Consistent: 174/200 (87.0%)
Epoch  50/100 | Stage max M: 13 | Train Loss: 0.7964 | Train Consistent: 161/800 (20.1%) | Test Loss: 0.7819 | Test Consistent: 165/200 (82.5%)
Epoch  51/100 | Stage max M: 13 | Train Loss: 0.8097 | Train Consistent: 144/800 (18.0%) | Test Loss: 0.7949 | Test Consistent: 135/200 (67.5%)
Epoch  52/100 | Stage max M: 13 | Train Loss: 0.7976 | Train Consistent: 155/800 (19.4%) | Test Loss: 0.7922 | Test Consistent: 169/200 (84.5%)
Epoch  53/100 | Stage max M: 13 | Train Loss: 0.8025 | Train Consistent: 160/800 (20.0%) | Test Loss: 0.7560 | Test Consistent: 120/200 (60.0%)
Epoch  54/100 | Stage max M: 13 | Train Loss: 0.8021 | Train Consistent: 156/800 (19.5%) | Test Loss: 0.7730 | Test Consistent: 137/200 (68.5%)
Epoch  55/100 | Stage max M: 13 | Train Loss: 0.7984 | Train Consistent: 157/800 (19.6%) | Test Loss: 0.7887 | Test Consistent: 163/200 (81.5%)
Epoch  56/100 | Stage max M: 13 | Train Loss: 0.8033 | Train Consistent: 150/800 (18.8%) | Test Loss: 0.7445 | Test Consistent: 136/200 (68.0%)
Epoch  57/100 | Stage max M: 13 | Train Loss: 0.7895 | Train Consistent: 167/800 (20.9%) | Test Loss: 0.7978 | Test Consistent: 133/200 (66.5%)
Epoch  58/100 | Stage max M: 13 | Train Loss: 0.7967 | Train Consistent: 154/800 (19.2%) | Test Loss: 0.8096 | Test Consistent: 169/200 (84.5%)
Epoch  59/100 | Stage max M: 13 | Train Loss: 0.8037 | Train Consistent: 161/800 (20.1%) | Test Loss: 0.7861 | Test Consistent: 158/200 (79.0%)
Epoch  60/100 | Stage max M: 13 | Train Loss: 0.7999 | Train Consistent: 163/800 (20.4%) | Test Loss: 0.7914 | Test Consistent: 129/200 (64.5%)
Epoch  61/100 | Stage max M: 13 | Train Loss: 0.8023 | Train Consistent: 154/800 (19.2%) | Test Loss: 0.7877 | Test Consistent: 106/200 (53.0%)
Epoch  62/100 | Stage max M: 13 | Train Loss: 0.7860 | Train Consistent: 165/800 (20.6%) | Test Loss: 0.7617 | Test Consistent: 196/200 (98.0%)
Epoch  63/100 | Stage max M: 13 | Train Loss: 0.7899 | Train Consistent: 173/800 (21.6%) | Test Loss: 0.7577 | Test Consistent: 163/200 (81.5%)
Epoch  64/100 | Stage max M: 13 | Train Loss: 0.7930 | Train Consistent: 164/800 (20.5%) | Test Loss: 0.7975 | Test Consistent: 111/200 (55.5%)
Epoch  65/100 | Stage max M: 13 | Train Loss: 0.8108 | Train Consistent: 152/800 (19.0%) | Test Loss: 0.7858 | Test Consistent: 135/200 (67.5%)

[Curriculum] Epoch 66: switching active max clauses to 20
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
Epoch  66/100 | Stage max M: 20 | Train Loss: 0.7799 | Train Consistent: 143/800 (17.9%) | Test Loss: 0.7683 | Test Consistent: 135/200 (67.5%)
Epoch  67/100 | Stage max M: 20 | Train Loss: 0.7881 | Train Consistent: 143/800 (17.9%) | Test Loss: 0.7746 | Test Consistent: 94/200 (47.0%)
Epoch  68/100 | Stage max M: 20 | Train Loss: 0.7894 | Train Consistent: 144/800 (18.0%) | Test Loss: 0.8288 | Test Consistent: 137/200 (68.5%)
Epoch  69/100 | Stage max M: 20 | Train Loss: 0.7941 | Train Consistent: 144/800 (18.0%) | Test Loss: 0.7790 | Test Consistent: 110/200 (55.0%)
Epoch  70/100 | Stage max M: 20 | Train Loss: 0.7919 | Train Consistent: 126/800 (15.8%) | Test Loss: 0.7951 | Test Consistent: 127/200 (63.5%)
Epoch  71/100 | Stage max M: 20 | Train Loss: 0.7816 | Train Consistent: 142/800 (17.8%) | Test Loss: 0.8092 | Test Consistent: 137/200 (68.5%)
Epoch  72/100 | Stage max M: 20 | Train Loss: 0.7927 | Train Consistent: 148/800 (18.5%) | Test Loss: 0.7912 | Test Consistent: 74/200 (37.0%)
Epoch  73/100 | Stage max M: 20 | Train Loss: 0.7859 | Train Consistent: 137/800 (17.1%) | Test Loss: 0.7888 | Test Consistent: 125/200 (62.5%)
Epoch  74/100 | Stage max M: 20 | Train Loss: 0.7758 | Train Consistent: 147/800 (18.4%) | Test Loss: 0.8145 | Test Consistent: 162/200 (81.0%)
Epoch  75/100 | Stage max M: 20 | Train Loss: 0.7836 | Train Consistent: 149/800 (18.6%) | Test Loss: 0.7856 | Test Consistent: 81/200 (40.5%)
Epoch  76/100 | Stage max M: 20 | Train Loss: 0.7962 | Train Consistent: 141/800 (17.6%) | Test Loss: 0.7977 | Test Consistent: 78/200 (39.0%)
Epoch  77/100 | Stage max M: 20 | Train Loss: 0.7896 | Train Consistent: 138/800 (17.2%) | Test Loss: 0.7845 | Test Consistent: 111/200 (55.5%)
Epoch  78/100 | Stage max M: 20 | Train Loss: 0.7780 | Train Consistent: 136/800 (17.0%) | Test Loss: 0.7979 | Test Consistent: 126/200 (63.0%)
Epoch  79/100 | Stage max M: 20 | Train Loss: 0.7828 | Train Consistent: 139/800 (17.4%) | Test Loss: 0.7859 | Test Consistent: 196/200 (98.0%)
Epoch  80/100 | Stage max M: 20 | Train Loss: 0.7919 | Train Consistent: 134/800 (16.8%) | Test Loss: 0.7926 | Test Consistent: 152/200 (76.0%)
Epoch  81/100 | Stage max M: 20 | Train Loss: 0.7844 | Train Consistent: 144/800 (18.0%) | Test Loss: 0.8107 | Test Consistent: 112/200 (56.0%)
Epoch  82/100 | Stage max M: 20 | Train Loss: 0.7906 | Train Consistent: 147/800 (18.4%) | Test Loss: 0.7863 | Test Consistent: 200/200 (100.0%)
Epoch  83/100 | Stage max M: 20 | Train Loss: 0.7814 | Train Consistent: 142/800 (17.8%) | Test Loss: 0.7730 | Test Consistent: 111/200 (55.5%)
Epoch  84/100 | Stage max M: 20 | Train Loss: 0.7773 | Train Consistent: 141/800 (17.6%) | Test Loss: 0.8274 | Test Consistent: 118/200 (59.0%)
Epoch  85/100 | Stage max M: 20 | Train Loss: 0.7736 | Train Consistent: 150/800 (18.8%) | Test Loss: 0.8016 | Test Consistent: 127/200 (63.5%)
Epoch  86/100 | Stage max M: 20 | Train Loss: 0.7831 | Train Consistent: 145/800 (18.1%) | Test Loss: 0.8100 | Test Consistent: 105/200 (52.5%)
Epoch  87/100 | Stage max M: 20 | Train Loss: 0.7937 | Train Consistent: 135/800 (16.9%) | Test Loss: 0.7856 | Test Consistent: 165/200 (82.5%)
Epoch  88/100 | Stage max M: 20 | Train Loss: 0.7797 | Train Consistent: 148/800 (18.5%) | Test Loss: 0.7954 | Test Consistent: 143/200 (71.5%)
