Generating 1000 consistent theories (N=5, active max M=6, global max M=20)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch  37/1000 | Stage max M: 6 | Train Loss: 0.7973 | Train Consistent: 157/800 (19.6%) | Test Loss: 0.7863 | Test Consistent: 45/200 (22.5%)
Epoch  38/1000 | Stage max M: 6 | Train Loss: 0.8293 | Train Consistent: 136/800 (17.0%) | Test Loss: 0.7782 | Test Consistent: 50/200 (25.0%)
Epoch  39/1000 | Stage max M: 6 | Train Loss: 0.8010 | Train Consistent: 180/800 (22.5%) | Test Loss: 0.8174 | Test Consistent: 41/200 (20.5%)
Epoch  40/1000 | Stage max M: 6 | Train Loss: 0.8127 | Train Consistent: 141/800 (17.6%) | Test Loss: 0.7421 | Test Consistent: 50/200 (25.0%)
Epoch  41/1000 | Stage max M: 6 | Train Loss: 0.8070 | Train Consistent: 157/800 (19.6%) | Test Loss: 0.8047 | Test Consistent: 33/200 (16.5%)
Epoch  42/1000 | Stage max M: 6 | Train Loss: 0.8013 | Train Consistent: 167/800 (20.9%) | Test Loss: 0.7746 | Test Consistent: 41/200 (20.5%)
Epoch  43/1000 | Stage max M: 6 | Train Loss: 0.7981 | Train Consistent: 167/800 (20.9%) | Test Loss: 0.8014 | Test Consistent: 37/200 (18.5%)
Epoch  44/1000 | Stage max M: 6 | Train Loss: 0.8100 | Train Consistent: 168/800 (21.0%) | Test Loss: 0.7768 | Test Consistent: 40/200 (20.0%)
Epoch  45/1000 | Stage max M: 6 | Train Loss: 0.8007 | Train Consistent: 172/800 (21.5%) | Test Loss: 0.8078 | Test Consistent: 40/200 (20.0%)
Epoch  46/1000 | Stage max M: 6 | Train Loss: 0.7906 | Train Consistent: 175/800 (21.9%) | Test Loss: 0.7558 | Test Consistent: 47/200 (23.5%)
Epoch  47/1000 | Stage max M: 6 | Train Loss: 0.7940 | Train Consistent: 177/800 (22.1%) | Test Loss: 0.7926 | Test Consistent: 43/200 (21.5%)
Epoch  48/1000 | Stage max M: 6 | Train Loss: 0.8208 | Train Consistent: 147/800 (18.4%) | Test Loss: 0.7861 | Test Consistent: 43/200 (21.5%)
Epoch  49/1000 | Stage max M: 6 | Train Loss: 0.7944 | Train Consistent: 162/800 (20.2%) | Test Loss: 0.7760 | Test Consistent: 41/200 (20.5%)
Epoch  50/1000 | Stage max M: 6 | Train Loss: 0.7795 | Train Consistent: 192/800 (24.0%) | Test Loss: 0.7849 | Test Consistent: 33/200 (16.5%)
Epoch  51/1000 | Stage max M: 6 | Train Loss: 0.8043 | Train Consistent: 166/800 (20.8%) | Test Loss: 0.7838 | Test Consistent: 45/200 (22.5%)
Epoch  52/1000 | Stage max M: 6 | Train Loss: 0.8031 | Train Consistent: 163/800 (20.4%) | Test Loss: 0.8235 | Test Consistent: 29/200 (14.5%)
Epoch  53/1000 | Stage max M: 6 | Train Loss: 0.8004 | Train Consistent: 156/800 (19.5%) | Test Loss: 0.7643 | Test Consistent: 45/200 (22.5%)
Epoch  54/1000 | Stage max M: 6 | Train Loss: 0.7997 | Train Consistent: 158/800 (19.8%) | Test Loss: 0.7855 | Test Consistent: 46/200 (23.0%)
Epoch  55/1000 | Stage max M: 6 | Train Loss: 0.7907 | Train Consistent: 172/800 (21.5%) | Test Loss: 0.7548 | Test Consistent: 45/200 (22.5%)
Epoch  56/1000 | Stage max M: 6 | Train Loss: 0.8029 | Train Consistent: 160/800 (20.0%) | Test Loss: 0.7935 | Test Consistent: 42/200 (21.0%)
Epoch  57/1000 | Stage max M: 6 | Train Loss: 0.8037 | Train Consistent: 160/800 (20.0%) | Test Loss: 0.8020 | Test Consistent: 34/200 (17.0%)
Epoch  58/1000 | Stage max M: 6 | Train Loss: 0.7947 | Train Consistent: 177/800 (22.1%) | Test Loss: 0.7751 | Test Consistent: 37/200 (18.5%)
Epoch  59/1000 | Stage max M: 6 | Train Loss: 0.8042 | Train Consistent: 161/800 (20.1%) | Test Loss: 0.7916 | Test Consistent: 35/200 (17.5%)
Epoch  60/1000 | Stage max M: 6 | Train Loss: 0.8010 | Train Consistent: 145/800 (18.1%) | Test Loss: 0.8102 | Test Consistent: 42/200 (21.0%)
Epoch  61/1000 | Stage max M: 6 | Train Loss: 0.8076 | Train Consistent: 149/800 (18.6%) | Test Loss: 0.8100 | Test Consistent: 36/200 (18.0%)
Epoch  62/1000 | Stage max M: 6 | Train Loss: 0.8062 | Train Consistent: 153/800 (19.1%) | Test Loss: 0.7973 | Test Consistent: 35/200 (17.5%)
Epoch  63/1000 | Stage max M: 6 | Train Loss: 0.8054 | Train Consistent: 153/800 (19.1%) | Test Loss: 0.7804 | Test Consistent: 47/200 (23.5%)
Epoch  64/1000 | Stage max M: 6 | Train Loss: 0.8002 | Train Consistent: 162/800 (20.2%) | Test Loss: 0.7930 | Test Consistent: 40/200 (20.0%)
Epoch  65/1000 | Stage max M: 6 | Train Loss: 0.8034 | Train Consistent: 155/800 (19.4%) | Test Loss: 0.8245 | Test Consistent: 31/200 (15.5%)
Epoch  66/1000 | Stage max M: 6 | Train Loss: 0.7944 | Train Consistent: 165/800 (20.6%) | Test Loss: 0.7927 | Test Consistent: 42/200 (21.0%)
Epoch  67/1000 | Stage max M: 6 | Train Loss: 0.7992 | Train Consistent: 167/800 (20.9%) | Test Loss: 0.8164 | Test Consistent: 40/200 (20.0%)
Epoch  68/1000 | Stage max M: 6 | Train Loss: 0.7996 | Train Consistent: 160/800 (20.0%) | Test Loss: 0.7824 | Test Consistent: 44/200 (22.0%)
Epoch  69/1000 | Stage max M: 6 | Train Loss: 0.8079 | Train Consistent: 155/800 (19.4%) | Test Loss: 0.8007 | Test Consistent: 57/200 (28.5%)
Epoch  70/1000 | Stage max M: 6 | Train Loss: 0.7981 | Train Consistent: 168/800 (21.0%) | Test Loss: 0.7817 | Test Consistent: 36/200 (18.0%)
Epoch  71/1000 | Stage max M: 6 | Train Loss: 0.7993 | Train Consistent: 155/800 (19.4%) | Test Loss: 0.7917 | Test Consistent: 43/200 (21.5%)
